Executando 100 vezes...
Execução 1: 0.05 segundos
Execução 2: 0.03 segundos
Execução 3: 0.03 segundos
Execução 4: 0.04 segundos
Execução 5: 0.05 segundos
Execução 6: 0.04 segundos
Execução 7: 0.04 segundos
Execução 8: 0.04 segundos
Execução 9: 0.05 segundos
Execução 10: 0.05 segundos
Execução 11: 0.04 segundos
Execução 12: 0.04 segundos
Execução 13: 0.04 segundos
Execução 14: 0.04 segundos
Execução 15: 0.04 segundos
Execução 16: 0.03 segundos
Execução 17: 0.04 segundos
Execução 18: 0.04 segundos
Execução 19: 0.04 segundos
Execução 20: 0.02 segundos
Execução 21: 0.03 segundos
Execução 22: 0.04 segundos
Execução 23: 0.05 segundos
Execução 24: 0.04 segundos
Execução 25: 0.03 segundos
Execução 26: 0.03 segundos
Execução 27: 0.04 segundos
Execução 28: 0.05 segundos
Execução 29: 0.04 segundos
Execução 30: 0.04 segundos
Execução 31: 0.05 segundos
Execução 32: 0.05 segundos
Execução 33: 0.05 segundos
Execução 34: 0.04 segundos
Execução 35: 0.03 segundos
Execução 36: 0.02 segundos
Execução 37: 0.05 segundos
Execução 38: 0.05 segundos
Execução 39: 0.05 segundos
Execução 40: 0.04 segundos
Execução 41: 0.04 segundos
Execução 42: 0.05 segundos
Execução 43: 0.05 segundos
Execução 44: 0.04 segundos
Execução 45: 0.05 segundos
Execução 46: 0.03 segundos
Execução 47: 0.04 segundos
Execução 48: 0.04 segundos
Execução 49: 0.04 segundos
Execução 50: 0.04 segundos
Execução 51: 0.04 segundos
Execução 52: 0.04 segundos
Execução 53: 0.04 segundos
Execução 54: 0.03 segundos
Execução 55: 0.05 segundos
Execução 56: 0.04 segundos
Execução 57: 0.04 segundos
Execução 58: 0.04 segundos
Execução 59: 0.04 segundos
Execução 60: 0.03 segundos
Execução 61: 0.05 segundos
Execução 62: 0.03 segundos
Execução 63: 0.04 segundos
Execução 64: 0.05 segundos
Execução 65: 0.03 segundos
Execução 66: 0.04 segundos
Execução 67: 0.04 segundos
Execução 68: 0.04 segundos
Execução 69: 0.04 segundos
Execução 70: 0.04 segundos
Execução 71: 0.04 segundos
Execução 72: 0.04 segundos
Execução 73: 0.04 segundos
Execução 74: 0.05 segundos
Execução 75: 0.03 segundos
Execução 76: 0.04 segundos
Execução 77: 0.04 segundos
Execução 78: 0.05 segundos
Execução 79: 0.05 segundos
Execução 80: 0.04 segundos
Execução 81: 0.04 segundos
Execução 82: 0.05 segundos
Execução 83: 0.05 segundos
Execução 84: 0.04 segundos
Execução 85: 0.03 segundos
Execução 86: 0.05 segundos
Execução 87: 0.04 segundos
Execução 88: 0.04 segundos
Execução 89: 0.04 segundos
Execução 90: 0.03 segundos
Execução 91: 0.05 segundos
Execução 92: 0.04 segundos
Execução 93: 0.04 segundos
Execução 94: 0.04 segundos
Execução 95: 0.04 segundos
Execução 96: 0.05 segundos
Execução 97: 0.04 segundos
Execução 98: 0.03 segundos
Execução 99: 0.05 segundos
Execução 100: 0.05 segundos

Resumo após 100 execuções:
Tempo médio: .040 segundos
Tempo mínimo: 0.02 segundos
Tempo máximo: 0.05 segundos
